"W 26 St & 10 Ave","388","20","35","40.749717753","-74.002950346"
"Broadway & Berry St","389","20","27","40.71044554","-73.96525063"
"Duffield St & Willoughby St","390","20","31","40.69221589","-73.9842844"
"Jay St & Tech Pl","392","0","32","40.695065","-73.987167"
"E 5 St & Avenue C","393","18","31","40.72299208","-73.97995466"
"E 9 St & Avenue C","394","18","28","40.72521311","-73.97768752"
"Bond St & Schermerhorn St","395","12","30","40.68807003","-73.98410637"
"Lefferts Pl & Franklin Ave","396","17","25","40.680342423","-73.9557689392"
"Fulton St & Clermont Ave","397","15","27","40.68415748","-73.96922273"
"Atlantic Ave & Furman St","398","9","31","40.69165183","-73.9999786"
"Lafayette Ave & St James Pl","399","25","27","40.68851534","-73.9647628"
"Pitt St & Stanton St","400","12","15","40.71926081","-73.98178024"
"Allen St & Rivington St","401","40","42","40.72019576","-73.98997825"
"Broadway & E 22 St","402","37","42","40.7403432","-73.98955109"
"E 2 St & 2 Ave","403","17","31","40.72502876","-73.99069656"
"9 Ave & W 14 St","404","25","39","40.7405826","-74.00550867"
"Washington St & Gansevoort St","405","26","40","40.739323","-74.008119"
"Hicks St & Montague St","406","26","34","40.69512845","-73.99595065"
"Henry St & Poplar St","407","29","43","40.700469","-73.991454"
"Market St & Cherry St","408","17","23","40.71076228","-73.99400398"
"DeKalb Ave & Skillman St","409","11","19","40.6906495","-73.95643107"
"Suffolk St & Stanton St","410","17","35","40.72066442","-73.98517977"
"E 6 St & Avenue D","411","18","23","40.72228087","-73.97668709"
"Forsyth St & Canal St","412","7","20","40.7158155","-73.99422366"
"Pearl St & Anchorage Pl","414","4","24","40.70281858","-73.98765762"
"Pearl St & Hanover Square","415","28","42","40.7047177","-74.00926027"
"Cumberland St & Lafayette Ave","416","31","31","40.68753406","-73.97265183"
"Front St & Gold St","418","6","23","40.70224","-73.982578"
"Carlton Ave & Park Ave","419","18","23","40.69580705","-73.97355569"
"Clermont Ave & Lafayette Ave","420","19","23","40.68764484","-73.96968902"
"Clermont Ave & Park Ave","421","8","19","40.69573398","-73.97129668"
"W 59 St & 10 Ave","422","52","55","40.770513","-73.988038"
"W 54 St & 9 Ave","423","37","39","40.76584941","-73.98690506"
"West St & Chambers St","426","23","31","40.71754834","-74.01322069"
"Bus Slip & State St","427","29","47","40.701907","-74.013942"
"E 3 St & 1 Ave","428","26","31","40.72467721","-73.98783413"
"York St & Jay St","430","4","27","40.7014851","-73.98656928"
"Hanover Pl & Livingston St","431","13","30","40.68864636","-73.98263429"
"E 7 St & Avenue A","432","13","31","40.72621788","-73.98379855"
"E 13 St & Avenue A","433","25","39","40.72955361","-73.98057249"
"9 Ave & W 18 St","434","9","27","40.74317449","-74.00366443"
"W 21 St & 6 Ave","435","37","47","40.74173969","-73.99415556"
"Hancock St & Bedford Ave","436","11","27","40.68216564","-73.95399026"
"Macon St & Nostrand Ave","437","14","24","40.6809833854","-73.9500479759"
"St Marks Pl & 1 Ave","438","0","27","40.72779126","-73.98564945"
"E 4 St & 2 Ave","439","32","39","40.7262807","-73.98978041"
"E 45 St & 3 Ave","440","25","32","40.75255434","-73.97282625"
"E 52 St & 2 Ave","441","29","35","40.756014","-73.967416"
"W 27 St & 7 Ave","442","45","51","40.746647","-73.993915"
"Bedford Ave & S 9th St","443","19","23","40.70853074","-73.96408963"
"Broadway & W 24 St","444","31","52","40.7423543","-73.98915076"
"E 10 St & Avenue A","445","21","42","40.72740794","-73.98142006"
"W 24 St & 7 Ave","446","32","39","40.74487634","-73.99529885"
"8 Ave & W 52 St","447","29","31","40.76370739","-73.9851615"
"W 37 St & 10 Ave","448","22","31","40.75660359","-73.9979009"
"W 52 St & 9 Ave","449","26","31","40.76461837","-73.98789473"
"W 49 St & 8 Ave","450","53","55","40.76227205","-73.98788205"
"W 22 St & 8 Ave","453","25","39","40.74475148","-73.99915362"
"E 51 St & 1 Ave","454","20","35","40.75455731","-73.96592976"
"1 Ave & E 44 St","455","24","39","40.75001986","-73.96905301"
"E 53 St & Madison Ave","456","32","35","40.7597108","-73.97402311"
"Broadway & W 58 St","457","51","59","40.76695317","-73.98169333"
"11 Ave & W 27 St","458","29","30","40.751396","-74.005226"
"W 20 St & 11 Ave","459","6","26","40.746745","-74.007756"
"S 4 St & Wythe Ave","460","10","23","40.71285887","-73.96590294"
"E 20 St & 2 Ave","461","21","39","40.73587678","-73.98205027"
